URL,Path,Status,Title,Description,Canonical,Robots,H1,Word Count,JSON-LD Types,File
"https://smru.edu.in/schools/law/legal-studies/bsc-forensic-llb-hons/","/schools/law/legal-studies/bsc-forensic-llb-hons/","200","B.Sc. (Forensic) LL.B. (Hons.) Admissions 2026 | St.Mary&#x27;s University","B.Sc. (Forensic) LL.B. (Hons.) at St.Mary&#x27;s University Hyderabad: admissions 2026, eligibility, duration, fee guidance, syllabus, career outcomes, and...","https://smru.edu.in/schools/law/legal-studies/bsc-forensic-llb-hons/","index,follow","B.Sc. (Forensic) LL.B. (Hons.)","1456","BreadcrumbList; Course; FAQPage; ItemList; ListItem; Question; WebPage","schools/law/legal-studies/bsc-forensic-llb-hons/index.html"
"https://smru.edu.in/schools/law/legal-studies/bsc-llb-hons/","/schools/law/legal-studies/bsc-llb-hons/","200","B.Sc. LL.B. / B.Sc. LL.B. (Hons.) Admissions 2026 | St.Mary&#x27;s University","B.Sc. LL.B. / B.Sc. LL.B. (Hons.) admissions 2026 at St.Mary&#x27;s University Hyderabad: eligibility, duration, fee guidance, syllabus, career pathways, and...","https://smru.edu.in/schools/law/legal-studies/bsc-llb-hons/","index,follow","B.Sc. LL.B. / B.Sc. LL.B. (Hons.)","1420","BreadcrumbList; Course; FAQPage; ItemList; ListItem; Question; WebPage","schools/law/legal-studies/bsc-llb-hons/index.html"
"https://smru.edu.in/schools/law/legal-studies/llb-general/","/schools/law/legal-studies/llb-general/","200","Page Moved | St.Mary&#x27;s University","LL.B. (General) now maps to the current LL.B. programme page.","https://smru.edu.in/schools/law/legal-studies/llb/","noindex,follow","Page Has Moved","304","","schools/law/legal-studies/llb-general/index.html"
"https://smru.edu.in/schools/law/legal-studies/llb-hons/","/schools/law/legal-studies/llb-hons/","200","LL.B. (Hons.) Admissions 2026, Eligibility, Fees & Syllabus | St.Mary&#x27;s University","LL.B. (Hons.) admissions 2026 at St.Mary&#x27;s University Hyderabad: eligibility, duration, fee guidance, syllabus, career pathways, and recommended related...","https://smru.edu.in/schools/law/legal-studies/llb-hons/","index,follow","LL.B. (Hons.)","1359","BreadcrumbList; Course; FAQPage; ItemList; ListItem; Question; WebPage","schools/law/legal-studies/llb-hons/index.html"
"https://smru.edu.in/schools/law/legal-studies/llb/","/schools/law/legal-studies/llb/","200","LL.B. Admissions 2026, Eligibility, Fees & Syllabus | St.Mary&#x27;s University","LL.B. admissions 2026 at St.Mary&#x27;s University Hyderabad: eligibility, duration, fee guidance, syllabus, career pathways, and recommended related courses....","https://smru.edu.in/schools/law/legal-studies/llb/","index,follow","LL.B.","1367","BreadcrumbList; Course; FAQPage; ItemList; ListItem; Question; WebPage","schools/law/legal-studies/llb/index.html"
"https://smru.edu.in/schools/law/legal-studies/llm/","/schools/law/legal-studies/llm/","200","LL.M. Admissions 2026, Eligibility, Fees & Syllabus | St.Mary&#x27;s University","LL.M. at St.Mary&#x27;s University Hyderabad: admissions 2026, eligibility, duration, fee guidance, syllabus, career outcomes, and recommended related courses....","https://smru.edu.in/schools/law/legal-studies/llm/","index,follow","LL.M.","1427","BreadcrumbList; Course; FAQPage; ItemList; ListItem; Question; WebPage","schools/law/legal-studies/llm/index.html"
"https://smru.edu.in/schools/law/legal-studies/phd-law/","/schools/law/legal-studies/phd-law/","200","Ph.D. in Law Admissions 2026, Eligibility, Fees & Syllabus | St.Mary&#x27;s University","Ph.D. in Law admissions 2026 at St.Mary&#x27;s University Hyderabad: eligibility, duration, fee guidance, syllabus, career pathways, and recommended related...","https://smru.edu.in/schools/law/legal-studies/phd-law/","index,follow","Ph.D. in Law","1388","BreadcrumbList; Course; FAQPage; ItemList; ListItem; Question; WebPage","schools/law/legal-studies/phd-law/index.html"
"https://smru.edu.in/schools/nursing-sciences/","/schools/nursing-sciences/","200","School of Nursing Admissions 2026 | St.Mary&#x27;s University","Explore admissions 2026, courses, eligibility, and official application updates for School of Nursing. Programs in nursing from undergraduate to...","https://smru.edu.in/schools/nursing-sciences/","index,follow","School of Nursing","703","BreadcrumbList; CollectionPage; FAQPage; ItemList; ListItem; Question","schools/nursing-sciences/index.html"
"https://smru.edu.in/schools/nursing-sciences/nursing/","/schools/nursing-sciences/nursing/","200","Nursing Admissions 2026 | St.Mary&#x27;s University","Detailed curriculum and admissions 2026 information for Nursing under School of Nursing.","https://smru.edu.in/schools/nursing-sciences/nursing/","index,follow","Nursing","790","BreadcrumbList; CollectionPage; FAQPage; ItemList; ListItem; Question","schools/nursing-sciences/nursing/index.html"
"https://smru.edu.in/schools/nursing-sciences/nursing/bsc-nursing/","/schools/nursing-sciences/nursing/bsc-nursing/","200","B.Sc. Nursing Admissions 2026, Eligibility, Fees & Syllabus | St.Mary&#x27;s University","B.Sc. Nursing at St.Mary&#x27;s University Hyderabad: admissions 2026, eligibility, duration, fee guidance, syllabus, career outcomes, and recommended related...","https://smru.edu.in/schools/nursing-sciences/nursing/bsc-nursing/","index,follow","B.Sc. Nursing","1299","BreadcrumbList; Course; FAQPage; ItemList; ListItem; Question; WebPage","schools/nursing-sciences/nursing/bsc-nursing/index.html"
